	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ACADM	2093.32575906283	0.102260402301933	0.0577494484466074	1.77075980901322	0.0766006519849186	0.152371121550614
ACADS	198.343598097897	0.312802773956648	0.123894089967295	2.52475944606574	0.0115777509334236	0.0318388150669149
ACADSB	1196.2810164726	-0.263248711172012	0.0630565450275932	-4.1748039169735	2.98242824585689e-05	0.000169571755642438
ACADVL	1325.11670297654	0.666290198134092	0.0783140836606722	8.50792305788914	1.7707663343978e-17	9.77211759202302e-16
ACAN	19.6342801265608	0.820276393079696	0.207697684368119	3.94937668937056	7.83549628375418e-05	0.000400728966171335
ACAP1	5.43621832839527	0.117473780522273	0.175077292121051	0.670982393542216	0.502231745733313	0.638340769261879
ACAP2	1904.39318422691	-0.010473840583605	0.0632849092997986	-0.165502972185476	0.868548110628204	0.917468532534383
ACAP3	992.44419201376	0.0876340316062625	0.0728215464259049	1.20340800089201	0.228818473256567	0.358090607457944
ACAT1	2313.70358371552	-0.0128632953824212	0.0522100326947112	-0.246375930420059	0.805391236811092	0.874511901199704
ACAT2	2498.73073144538	-0.000556246675470052	0.0521976696972404	-0.0106565423072797	0.991497470349012	0.994574946855854
ACBD3	3434.6920733577	0.0722484127477118	0.0555419000643036	1.30079116242092	0.193329947817328	0.315709756832556
ACBD4	440.669498235299	0.188828260675756	0.0967957344781055	1.950791134484	0.0510818968965569	0.10983197702094
ACBD5	1427.91961624228	-0.219064512050164	0.0594102040921187	-3.6873213179085	0.000226627120559423	0.00103262315602181
ACBD6	1119.1092962349	-0.0429721100403145	0.063618256420668	-0.675468213969377	0.499378339529728	0.635554746881037
ACBD7	485.700742652615	-0.369669070098282	0.0868570222626203	-4.25606428206291	2.08056910521254e-05	0.000122959827545756
ACCN1	0.789290159669108	-0.0630595323716024	0.0813610888353138	-0.775057626124494	0.438305608912582	NA
ACCN2	853.019923894425	0.640066162501912	0.0806131559962636	7.93997151695163	2.02227687560022e-15	8.48940321384001e-14
ACCN3	75.3972201617344	0.304508966484649	0.175202448699809	1.73804058530251	0.0822036627384843	0.161219453815961
ACCN4	19.9767360384781	-0.322844127309268	0.206888729524815	-1.56047227923329	0.118648315823547	0.215970608310413
ACCN5	0	NA	NA	NA	NA	NA
ACCS	117.89647501705	0.187524219130776	0.143994663782914	1.30229978114666	0.192813926454418	0.315119108417501
ACCSL	0.367553527320858	-0.000842091550919012	0.0589010912148819	-0.0142967054353358	0.988593268045447	NA
ACD	407.318426719231	-0.266458609749003	0.0999668207289959	-2.66547048116451	0.00768806808428305	0.022486050520459
ACE	151.2896081189	0.861835363539973	0.136244101373758	6.32567101878196	2.52134481704766e-10	4.22422231656139e-09
ACE2	26.3445190465379	0.163532167460324	0.203914114980265	0.801965903518504	0.422572681819042	0.565333722974124
ACER1	0.568351023846929	-0.0286329019484434	0.0709891135295342	-0.403342153815331	0.686696535145345	NA
ACER2	83.2645179310152	0.417185414324693	0.159330932694801	2.61835795014026	0.00883540691049703	0.0253159747207453
